University,sid,Place,Type,College Model,Enrollment,Known Cases in County
Worcester State University,4261,"Worcester County, MA","Public, 4-year",Primarily in person,"6,217","15,013"
Worcester Polytechnic Institute,1220,"Worcester County, MA","Private nonprofit, 4-year",Hybrid,"6,874","15,013"
Williams College,1209,"Berkshire County, MA","Private nonprofit, 4-year",Primarily in person,"2,149",755
Wheaton College (Mass.),1192,"Bristol County, MA","Private nonprofit, 4-year",Hybrid,"1,760","10,653"
Westfield State University,1185,"Hampden County, MA","Public, 4-year",Primarily online,"6,100","8,528"
Western New England University,1180,"Hampden County, MA","Private nonprofit, 4-year",Primarily in person,"3,780","8,528"
Wentworth Institute of Technology,1158,"Suffolk County, MA","Private nonprofit, 4-year",Hybrid,"4,516","25,446"
Wellesley College,1156,"Norfolk County, MA","Private nonprofit, 4-year",Primarily online,"2,534","11,723"
Urban College of Boston,2971,"Suffolk County, MA","Private, 2-year",Fully online,931,"25,446"
University of Massachusetts at Lowell,1362,"Middlesex County, MA","Public, 4-year",Primarily online,"18,242","29,649"
University of Massachusetts at Dartmouth,4254,"Bristol County, MA","Public, 4-year",Hybrid,"8,513","10,653"
University of Massachusetts at Boston,3980,"Suffolk County, MA","Public, 4-year",Fully online,"16,164","25,446"
University of Massachusetts at Amherst,1513,"Hampshire County, MA","Public, 4-year",Primarily online,"30,593","1,348"
Tufts University,1040,"Middlesex County, MA","Private nonprofit, 4-year",Hybrid,"11,586","29,649"
Suffolk University,986,"Suffolk County, MA","Private nonprofit, 4-year",Primarily online,"7,186","25,446"
Stonehill College,984,"Bristol County, MA","Private nonprofit, 4-year",Hybrid,"2,556","10,653"
Springfield Technical Community College,2869,"Hampden County, MA","Public, 2-year",Undetermined,"4,921","8,528"
Springfield College (Mass.),952,"Hampden County, MA","Private nonprofit, 4-year",Primarily in person,"3,139","8,528"
Smith College,910,"Hampshire County, MA","Private nonprofit, 4-year",Fully online,"2,903","1,348"
Simmons University,902,"Suffolk County, MA","Private nonprofit, 4-year",Fully online,"6,082","25,446"
Salem State University,869,"Essex County, MA","Public, 4-year",Hybrid,"8,338","20,526"
Saint John's Seminary (Mass.),,"Suffolk County, MA","Private nonprofit, 4-year",Primarily online,143,"25,446"
Roxbury Community College,2761,"Suffolk County, MA","Public, 2-year",Primarily online,"2,007","25,446"
Regis College,793,"Middlesex County, MA","Private nonprofit, 4-year",Primarily online,"2,757","29,649"
Quinsigamond Community College,2719,"Worcester County, MA","Public, 2-year",Primarily online,"7,263","15,013"
Quincy College,13338,"Norfolk County, MA","Public, 2-year",Primarily online,"3,500","11,723"
Pine Manor College,766,"Norfolk County, MA","Private nonprofit, 4-year",Primarily online,423,"11,723"
Northern Essex Community College,2576,"Essex County, MA","Public, 2-year",Primarily online,"5,233","20,526"
Northeastern University,696,"Suffolk County, MA","Private nonprofit, 4-year",Hybrid,"21,627","25,446"
North Shore Community College,2565,"Essex County, MA","Public, 2-year",Primarily online,"5,763","20,526"
Nichols College,680,"Worcester County, MA","Private nonprofit, 4-year",Primarily in person,"1,592","15,013"
Newbury College,4758,"Norfolk County, MA","Private nonprofit, 4-year",Other,636,"11,723"
New England Conservatory of Music,665,"Suffolk County, MA","Private nonprofit, 4-year",Primarily online,838,"25,446"
Mount Wachusett Community College,2498,"Worcester County, MA","Public, 2-year",Fully online,"3,724","15,013"
Mount Holyoke College,641,"Hampshire County, MA","Private nonprofit, 4-year",Fully online,"2,335","1,348"
Montserrat College of Art,4703,"Essex County, MA","Private nonprofit, 4-year",Primarily online,367,"20,526"
Middlesex Community College,2454,"Middlesex County, MA","Public, 2-year",Hybrid,"8,090","29,649"
